word;Quality;Difficulty;NumOfMarks
авари€;0;0;3
акула;0;0;3
алфавит;0;0;3
ананас;0;0;3
атлас;0;0;3
бал;0;0;3
банка;0;0;3
бан€;0;0;3
батон;0;0;3
беда;0;0;3
борщ;0;0;3
бутылка;0;0;3
вдох;0;0;3
ветер;0;0;3
вино;0;0;3
война;0;0;3
воск;0;0;3
восьмерка;0;0;3
вратарь;0;0;3
врем€;0;0;3
всадник;0;0;3
гитара;0;0;3
гном;0;0;3
голова;0;0;3
гора;0;0;3
дама;0;0;3
двор;0;0;3
деньги;0;0;3
дом;0;0;3
дын€;0;0;4
еврей;0;0;3
знание;0;0;3
зонт;0;0;3
игра;0;0;3
ирис;0;0;3
камера;0;0;3
канал;0;0;3
кирпич;0;0;3
класс;0;0;3
клоун;0;0;3
книга;0;0;3
кобыла;0;0;3
ковЄр;0;0;3
кокос;0;0;3
коммунизм;0;0;3
компот;0;0;3
конец;0;0;3
костер;0;0;3
котлета;0;0;3
кофе;0;0;3
краб;0;0;3
крокодил;0;0;3
крот;0;0;3
кружок;0;0;3
крыса;0;0;3
кулак;0;0;3
курица;0;0;3
куртка;0;0;3
кухн€;0;0;3
лопата;0;0;3
луг;0;0;3
лыжи;0;0;3
майка;0;0;3
математик;0;0;3
матрас;0;0;3
медаль;0;0;3
медведь;0;0;3
мир;0;0;3
монета;0;0;3
мох;0;0;4
музей;0;0;3
мышь;0;0;3
м€со;0;0;3
ножницы;0;0;3
нора;0;0;3
озеро;0;0;3
окно;0;0;3
операци€;0;0;3
остановка;0;0;3
отель;0;0;3
отпуск;0;0;3
пальто;0;0;3
пара;0;0;3
парень;0;0;3
пароход;0;0;3
пень;0;0;3
перчатка;0;0;3
пЄс;0;0;3
пирамида;0;0;3
пирог;0;0;3
пластик;0;0;3
подпись;0;0;4
правда;0;0;3
праздник;0;0;3
президент;0;0;3
пробка;0;0;3
пушка;0;0;3
пчела;0;0;3
п€терка;0;0;3
ремень;0;0;3
рис;0;0;3
рождение;0;0;3
ро€ль;0;0;3
рыба;0;0;3
рюмка;0;0;3
самолет;0;0;3
семерка;0;0;3
склад;0;0;3
слеза;0;0;3
смех;0;0;3
соло;0;0;3
соль;0;0;3
сон;0;0;3
спичка;0;0;3
старуха;0;0;3
столица;0;0;3
стон;0;0;3
стрела;0;0;3
сырок;0;0;3
таз;0;0;3
такси;0;0;3
танк;0;0;3
театр;0;0;3
телефон;0;0;3
точка;0;0;3
трамвай;0;0;3
тыква;0;0;3
укол;0;0;3
урок;0;0;3
футбол;0;0;3
халат;0;0;3
царь;0;0;3
цирк;0;0;4
человек;0;0;3
черешн€;0;0;4
четверг;0;0;3
чудо;0;0;3
шарик;0;0;3
шарф;0;0;3
шкаф;0;0;3
школа;0;0;3
шрам;0;0;3
щека;0;0;3
юность;0;0;3
€йцо;0;0;4
акт;1;0;3
двойка;1;0;3
краска;1;0;3
лимон;1;0;3
метро;1;0;3
минута;1;0;3
нота;1;0;3
улица;1;0;3
вопрос;2;0;3
год;2;0;3
город;2;0;3
квадрат;2;0;3
круг;2;0;3
лук;2;0;3
мыло;2;0;3
м€ч;2;0;4
огурец;2;0;3
очки;2;0;3
победа;2;0;3
попа;2;0;3
слово;2;0;3
чай;2;0;3
шл€па;2;0;3
апельсин;0;0;3
белка;0;0;3
боб;0;0;3
бок;0;0;3
больница;0;0;3
ваза;0;0;3
виноград;0;0;3
голод;0;0;3
дворец;0;0;3
долгота;0;0;3
игрок;0;0;3
комета;0;0;3
коньки;0;0;3
красота;0;0;3
лекарство;0;0;3
литр;0;0;3
любопытство;0;0;3
маг;0;0;3
марка;0;0;3
мел;0;0;3
мусор;0;0;3
насморк;0;0;3
